method,discover_question_id,scoring_day_et,subset,n_individuals,aggregate_brier,median_individual_brier,mean_individual_brier,aggregate_percentile_rank
geometric_mean_of_odds,217,2018-08-30,ordinal only,55,1.2990824131282163e-7,0.00005000000000000009,0.061785548818181824,0.5818181818181818
geometric_mean_of_odds,314,2018-07-21,ordinal only,6,0.8466019776948047,0.795625,0.75169216,0.3333333333333333
median,282,2018-08-05,binary only,19,0.033800000000000004,0.033800000000000004,0.21080220631578944,0.47368421052631576
median,350,2018-06-01,binary only,61,0.31760449999999996,0.31760449999999996,0.49837387049180326,0.4918032786885246
geometric_mean_of_odds,339,2018-05-23,ordinal only,41,0.0026169112706137462,0.065,0.1478341463414634,0.9024390243902439
median,220,2018-05-20,ordinal only,9,0.4595000000000001,0.4668000000000001,0.5598253555555556,0.5555555555555556
geometric_mean_of_odds,311,2018-06-04,ordinal only,3,1.6318647747465347,1.6154,1.2221,0.0
geometric_mean_of_odds,220,2018-07-14,ordinal only,4,0.845832841468047,0.63410166,0.66245872625,0.5
median,215,2018-03-23,binary only,10,0.011249999999999996,0.0125,0.13242,0.5
geometric_mean_of_odds,267,2018-06-28,binary only,23,0.11687664745467645,0.07644050000000001,0.24960700782608697,0.391304347826087
median,327,2018-05-29,binary only,38,0.0050000000000000044,0.0050000000000000044,0.10385299842105263,0.4473684210526316
